num,front,back,side
1,the decade,der Jahrzehnt,
2,the convey,das Fließband,
3,the pride,der Stolz,
4,the part,der Teil,
5,the machine detail,das Teil,
6,the photo model,das Model,
7,the product model,das Modell,
8,following,nachfolgend,
9,previous,vorgänge,
10,to welcome,begrüßen,
11,to say goodbye,sich verabschieden,
12,to wave,wingen,
13,the process,der Vorgang,
14,the history/story,die Geschichte,
15,to sink,sinken,
16,to go up,steigen,
17,to raise,steigern,
18,to reduce,senken,
19,to hire,anstellen,
20,to offer,anbieten,
21,urgent,dringend,
22,the warehouse,das Lager,
23,to earn,verdienen,
24,the wound,die Verletzung,
25,the accident,der Unfall,
26,the body,der Körper,
27,human,menschlich,
28,the humanity,die Menschheit,
29,the emergency room,die Notaufnahme,
30,the record,die Aufnahme,
31,to check,untersuchen,
32,upper,obere,
33,the area,die Gegend,
34,the feeling,das Gefühl,
35,to express,ausdrücken,
36,to print out,ausdrucken,
37,the evil,das Böses,
38,the good,das Gute,
39,the soul,die Seele,
40,to last,dauern,
41,the duration,die Dauer,
42,the truth,die Wahrheit,
43,the lie,die Lüge,
44,to worry,sich Sorgen machen,
45,to worry about,sich sorgen um,
46,the stomach,der Magen,
47,to believe in,glauben an,
48,to believe,glauben,
49,the weight lifting,das Gewichtheben,
50,the paddling,das Rudern,
51,the competition,der Wettbewerb,
52,the martial arts,der Kampfsport,
53,worth,wert,
54,huge,riesig,
55,affordable,preiswert,
56,cheap,billig,
57,to lose weight,abnehmen,
58,to gain weight,zunehmen,
59,to relax,ausruhen,
60,to pay attention to,achten auf,
61,the nutrition,die Ernährung,
62,to take care about,aufpassen auf,
63,the suggestion,der Vorschlag,
64,the advice,der Ratschlag,
65,to dive,tauchen,
66,the income,das Einkommen,
67,to kick,treten,
68,the kick,der Tritt,
69,to quit,austreten,
70,the reduction,die Ermäßigung,льгота
71,the art,die Kunst,
72,artificial,künstlich,
73,artistic,künstlerisch,
74,the stage,die Bühne,
75,the event,die Veranstaltung,
76,the report,der Vortrag,
77,the festival,das Fest,
78,the spectacle,das Theaterstück,
79,to take place,stattfinden,
80,the line (of text),die Zeile,
81,the row,die Reihe,
82,exciting,spannend,
83,the softy,das Weichei,
84,the thirst,der Durst,
85,the can,die Dose,
86,to decide,entschließen,
87,to barricade,verschließen,
88,to lock,abschließen,
89,to unlock,aufschließen,
90,the sunrise,der Sonnenaufgang,
91,the sunset,der Sonnenuntergang,
92,the accommodation,die Unterkunft,
93,the tips,das Trinkgeld,
94,the money change,das Geld wechseln,
95,the highlight,der Höhepunkt,
96,to give up,aufgeben,
97,the cheek,die Wange,
98,the tongue,die Zunge,
99,the French kiss,der Zungkuss,
100,intentionally,extra,
101,to continue (colloquial),weitermachen,
102,to continue (formal),fortfahren,
103,colorblind,farbenblind,
104,raw,roh,
105,the patience,die Geduld,
106,colloquial,umgangssprachlich,
107,the ceiling,die Decke,
108,the blanket,die Bettdecke,
109,the stove,der Herd,
110,the oven,der Ofen,
111,the sheet,das Blatt,
112,the coast,die Küste,
113,the lake,der See,
114,the sea,die See,
115,the exception,die Ausnahme,
116,the shore,das Ufer,
117,the hill,der Hügel,
118,to decorate,einrichten,
119,to put in order,richten,
120,to conflict,streiten,
121,to pay,zahlen,
122,to count,zählen,
123,to tell a story,erzählen,
124,to call,anrufen,
125,to talk on phone,telefonieren,
126,the violin,die Geige,
127,related,verwandt,
128,to remain silent,schweigen,
129,the grandson,der Enkel,
130,the granddaughter,die Enkelin,
131,brothers and sisters,die Geschwister,
132,the wedding,die Trauung,
133,the best man,der Trauzeuge,
134,the bride,die Braut,
135,the groom,der Bräutigam,
136,the movement,die Bewegung,
137,to fetch,holen,
138,to pick up,abholen,
139,the diarrheas,die Durchfall,
140,to pass,bestehen,
141,to confess,gestehen,
142,the housewarming,die Einweihungsparty,
143,Easter,das Ostern,
144,to congratulate,gratulieren,
145,hopefully,hoffentlich,
146,to chill,entspannen,
147,the dumbbell,die Hantel,
148,to lift,heben,
149,satisfied,zufrieden,
150,to move,umziehen,
